0_10,10_20,20_30,30_40,40_50,50_60,60_70,70_80,80_90,90_100
8.98,8.064,7.888,8.04,7.66,8.896,11.176,8.004,8.024,8.104
9.064,8.156,8.012,8.144,7.7,8.912,10.12,7.936,7.96,8.06
9.052,8.128,7.98,8.152,7.764,8.948,8.8,7.924,7.816,7.988
9.024,8.052,7.932,8.048,7.748,8.764,8.032,8.044,7.928,8.04
9.1,8.036,7.876,7.996,7.624,8.496,7.76,8.012,8.032,8.128
9.22,8.144,7.984,8.076,7.672,8.444,7.756,7.92,7.96,8.08
9.148,8.124,8.004,8.132,7.752,8.536,7.852,7.932,7.836,7.992
8.98,8.044,7.948,8.032,7.736,8.4,8.008,8.024,7.896,8.024
8.956,8.016,7.88,7.964,7.648,8.192,7.964,8.028,8.016,8.116
8.964,8.14,7.96,8.028,7.692,8.14,7.916,7.904,8.004,8.056
8.84,8.124,7.988,8.12,7.748,8.26,7.948,7.916,7.848,8.02
8.632,8.036,7.916,8.06,7.744,8.212,8.024,7.98,7.876,8
8.504,8.012,7.884,7.976,7.636,8.076,7.996,8.032,8.024,8.112
8.512,8.108,7.94,8.032,7.636,7.984,7.884,7.928,8.04,8.064
8.432,8.156,7.992,8.112,7.74,8.132,7.904,7.908,7.848,8.016
8.256,8.084,7.948,8.06,7.784,8.144,8.024,7.984,7.848,8
8.184,8.056,7.916,7.964,7.724,8.048,8.012,8.028,8.024,8.108
8.176,8.192,7.9,8.004,7.652,7.932,7.924,7.94,8.028,8.092
8.192,8.26,8.024,8.116,7.696,8.076,7.924,7.9,7.904,8.02
8.052,8.172,7.94,8.108,7.756,8.156,8.044,7.968,7.836,7.976
7.988,8.132,7.88,7.98,7.732,8.028,8.02,8.024,7.996,8.068
8.06,8.2,7.852,8.032,7.652,7.9,7.96,7.952,8.032,8.08
8.084,8.324,7.98,8.104,7.756,8.02,7.892,7.904,7.932,8.032
7.996,8.268,7.948,8.088,7.828,8.12,8.048,7.94,7.848,8.016
7.912,8.232,7.904,7.996,7.736,8.032,8.068,8.02,7.98,8.052
7.948,8.244,7.88,7.98,7.652,7.908,8.02,7.976,8.02,8.076
8.036,8.332,7.984,8.072,7.668,7.992,7.984,7.88,7.968,8.048
7.98,8.264,7.972,8.132,7.752,8.136,8.008,7.916,7.848,7.992
7.896,8.152,7.9,8.02,7.752,8.048,8.116,8.004,7.94,8.016
7.916,8.172,7.844,8.016,7.66,7.932,8.056,7.996,8.024,8.124
8.032,8.252,7.988,8.084,7.668,7.976,8.024,7.876,8,8.068
8.004,8.22,7.98,8.124,7.756,8.128,8.084,7.916,7.84,7.988
7.88,8.108,7.92,8.016,7.82,8.092,8.188,8.004,7.908,8.032
7.892,8.072,7.86,7.968,7.668,7.956,8.14,7.996,8.032,8.128
8.012,8.14,7.968,8.02,7.68,7.952,8.076,7.908,7.984,8.048
7.976,8.12,7.98,8.104,7.76,8.14,8.128,7.896,7.824,8.016
7.892,8.036,7.912,8.048,7.784,8.12,8.24,7.984,7.888,7.996
7.92,7.976,7.86,7.928,7.672,7.996,8.204,8.016,8.012,8.128
7.996,8.052,7.956,8.016,7.672,7.916,8.156,7.928,8.024,8.08
8.004,8.1,8.048,8.12,7.792,8.092,8.18,7.88,7.828,7.992
7.896,8.032,7.984,8.048,7.796,8.12,8.336,7.988,7.872,8.02
7.9,7.96,7.96,7.928,7.692,8.024,8.324,8.02,8,8.108
7.996,8.072,7.992,7.976,7.636,7.92,8.264,7.916,8.012,8.08
8.008,8.128,8.116,8.112,7.704,8.072,8.264,7.872,7.88,8.048
7.9,8.064,8.104,8.072,7.768,8.156,8.416,7.952,7.856,7.988
7.876,7.996,8.096,7.936,7.716,8.016,8.452,7.996,7.972,8.084
7.964,8.028,8.092,7.976,7.632,7.924,8.408,7.956,8.024,8.08
8.036,8.104,8.18,8.056,7.684,8.044,8.432,7.868,7.892,8.076
7.948,7.956,8.108,8.072,7.748,8.152,8.552,7.916,7.8,7.968
7.876,7.936,8.048,7.94,7.76,8.032,8.608,8.04,7.948,8.076
7.912,8.276,7.988,7.964,7.732,7.928,8.608,8.02,7.984,8.12
8.028,8.84,8.088,8.032,7.756,7.984,8.64,7.956,7.92,8.052
7.944,9.368,8.06,8.084,7.876,8.156,8.764,7.992,7.796,8
7.88,9.968,7.996,7.976,7.852,8.068,8.864,8.092,7.916,8.044
7.936,10.732,7.936,7.932,7.796,7.94,8.86,8.124,8.016,8.14
8.024,11.348,8.004,8.024,7.792,7.972,8.852,8.044,7.976,8.072
7.972,11.228,7.976,8.08,7.952,8.132,8.948,8.108,7.836,8.024
7.896,9.9,7.868,8.02,7.968,8.076,9.084,8.22,7.916,8.036
7.9,8.604,7.832,7.928,7.904,7.964,9.064,8.216,8.024,8.164
7.988,8.124,7.896,8.004,7.868,7.92,9.028,8.072,8.04,8.092
7.976,8.028,7.924,8.096,7.94,8.088,9.088,8.052,7.924,8.064
7.892,8.008,7.872,8.028,7.928,8.08,9.224,8.136,7.964,8.064
7.88,8,7.8,7.892,7.828,7.98,9.164,8.128,8.12,8.248
7.952,8.12,7.864,7.988,7.804,7.892,9.028,8.02,8.124,8.188
7.992,8.224,7.944,8.064,7.856,8.084,8.96,8.004,8.008,8.168
7.884,8.16,7.852,8.044,7.88,8.08,8.964,8.056,8.02,8.152
7.836,8.112,7.856,7.904,7.784,7.996,8.856,8.08,8.18,8.272
7.94,8.176,7.844,7.956,7.692,7.884,8.652,7.952,8.184,8.22
7.96,8.24,7.952,8.104,7.712,8.036,8.508,7.876,8.068,8.16
7.888,8.156,7.836,8.072,7.736,8.112,8.544,7.92,7.992,8.092
7.84,8.108,7.744,7.904,7.66,7.992,8.436,7.976,8.128,8.192
7.928,8.156,7.9,7.968,7.632,7.892,8.264,7.916,8.156,8.204
7.98,8.24,8.388,8.08,7.652,7.984,8.168,7.832,8.04,8.152
7.916,8.192,8.852,8.072,7.728,8.092,8.196,7.892,7.92,8.08
7.86,8.12,9.388,7.932,7.656,8.012,8.144,7.988,8.052,8.144
7.896,8.164,10.104,7.952,7.604,7.904,8.064,7.924,8.032,8.148
7.956,8.28,10.876,8.016,7.652,7.972,7.944,7.844,7.972,8.112
7.912,8.232,11.204,8.072,7.712,8.088,8.04,7.88,7.824,7.984
7.82,8.164,10.496,7.96,7.736,8.032,8.04,7.992,7.92,8.036
7.86,8.168,9.18,7.976,7.62,7.92,7.984,7.968,7.98,8.132
7.972,8.276,8.264,8.08,7.632,7.92,7.9,7.844,7.928,8.056
7.908,8.28,7.844,8.128,7.688,8.072,7.972,7.804,7.772,7.968
7.84,8.2,7.692,8.084,7.6,8.064,8.048,7.908,7.852,8.008
7.856,8.204,7.752,8.04,7.608,7.944,7.952,8.128,7.976,8.12
7.956,8.292,7.84,8.12,7.904,7.908,7.872,8.412,7.956,8.044
7.924,8.332,7.972,8.264,8.476,8.08,7.896,8.956,7.788,8.012
7.824,8.248,7.944,8.228,9.048,8.052,8.052,9.668,7.856,8.012
7.84,8.248,7.924,8.12,9.7,7.996,7.992,10.48,7.996,8.132
7.924,8.336,7.98,8.136,10.408,7.932,7.916,11.008,7.988,8.08
7.94,8.408,8.092,8.22,10.948,8.132,7.896,11.184,7.824,8
7.856,8.332,8,8.152,10.832,8.16,8,10.308,7.728,7.876
7.876,8.288,7.944,8.02,9.38,8.12,7.98,8.98,7.852,8.128
7.976,8.396,7.964,8.092,8.104,8.012,7.816,8.052,8.064,8.404
8.028,8.46,8.056,8.196,7.688,8.176,7.88,7.728,8.316,8.908
7.956,8.4,8.008,8.128,7.736,8.272,8.016,7.844,8.792,9.412
7.924,8.348,7.956,7.996,7.688,8.204,7.956,7.956,9.536,10.24
8.048,8.468,7.972,7.988,7.668,8.06,7.916,7.96,10.332,10.976
8.128,8.56,8.092,8.056,7.76,8.136,7.86,7.912,10.936,11.444
8.084,8.528,8.08,8.024,7.856,8.256,7.992,8.016,11.224,11.084
8.012,8.492,7.98,7.9,7.852,8.148,7.992,8.112,10.672,9.8
8.044,8.56,7.992,7.904,7.732,8.012,7.952,8.036,9.264,8.608
8.096,8.704,8.096,7.988,7.76,8.06,7.88,7.948,8.168,8.08
8.044,8.688,8.092,8.004,7.824,8.188,7.976,7.988,7.704,8.004
7.968,8.652,8,7.94,7.844,8.08,8.04,8.1,7.844,8.1
7.98,8.712,8.04,7.896,7.716,7.94,7.952,8.056,7.996,8.196
8.06,8.876,8.144,7.98,7.76,7.896,7.88,7.968,7.98,8.18
7.996,8.9,8.18,8.028,7.824,8.06,7.936,8.004,7.892,8.144
7.868,8.876,8.092,7.96,7.828,8.012,8.032,8.112,7.98,8.176
7.848,8.936,8.068,7.876,7.748,7.904,7.96,8.104,8.088,8.276
7.932,9.084,8.164,7.98,7.744,7.836,7.888,7.996,8.084,8.164
7.884,9.124,8.216,8.012,7.824,8.024,7.94,8.004,7.92,8.124
7.768,9.108,8.156,7.864,7.86,8.028,8.04,8.112,7.952,8.096
7.772,9.112,8.124,7.808,7.8,7.9,8,8.12,8.064,8.232
7.88,9.26,8.212,8.196,7.792,7.84,7.92,8.064,8.064,8.188
7.884,9.304,8.304,8.712,7.86,8.004,7.908,8.056,7.964,8.148
7.824,9.26,8.26,9.256,7.896,8.024,8.048,8.132,7.932,8.112
7.768,9.196,8.18,9.772,7.832,7.964,7.98,8.18,8.064,8.24
7.864,9.24,8.248,10.604,7.808,7.876,7.896,8.124,8.1,8.188
7.884,9.248,8.372,11.168,7.896,7.936,7.868,8.072,8.012,8.196
7.848,9.104,8.34,11.18,7.944,7.936,7.988,8.144,7.944,8.128
7.78,8.936,8.3,9.816,7.904,7.936,7.98,8.24,8.088,8.224
7.808,8.86,8.344,8.616,7.868,8.196,7.888,8.18,8.144,8.256
7.752,8.836,8.524,7.976,7.92,8.776,7.88,8.116,8.048,8.232
7.744,8.7,8.52,7.88,7.98,9.436,7.956,8.204,7.948,8.168
8.02,8.512,8.456,7.848,7.988,10.104,7.976,8.272,8.1,8.224
8.572,8.468,8.524,7.876,7.916,10.732,7.896,8.248,8.156,8.3
9.236,8.512,8.684,7.948,7.956,11.252,7.864,8.192,8.136,8.264
9.904,8.384,8.724,8.12,8.044,11.06,7.956,8.248,8.028,8.2
10.548,8.248,8.676,8.036,8.052,9.624,8.004,8.34,8.124,8.236
11.064,8.212,8.724,8.008,7.996,8.348,7.932,8.344,8.196,8.352
10.956,8.288,8.872,8.032,8.04,7.828,7.832,8.284,8.172,8.304
9.7,8.252,8.944,8.172,8.124,7.916,7.904,8.328,8.032,8.26
8.412,8.144,8.92,8.076,8.164,7.976,8.008,8.464,8.144,8.288
7.772,8.132,8.928,7.988,8.088,7.936,7.94,8.48,8.264,8.412
7.724,8.204,9.064,8.044,8.104,7.948,7.856,8.404,8.26,8.376
7.78,8.216,9.14,8.168,8.276,8.116,7.884,8.432,8.156,8.34
7.724,8.112,9.088,8.108,8.328,8.136,8.016,8.568,8.2,8.32
7.776,8.092,9.056,7.988,8.272,8.044,7.96,8.652,8.324,8.504
7.96,8.156,9.16,8.044,8.312,7.996,7.86,8.616,8.368,8.452
7.964,8.188,9.176,8.196,8.416,8.084,7.852,8.632,8.216,8.424
7.876,8.116,9.036,8.168,8.512,8.104,7.988,8.76,8.276,8.428
7.884,8.06,8.916,8.028,8.488,8.052,7.944,8.876,8.428,8.56
7.972,8.136,8.88,8.1,8.52,7.988,7.9,8.872,8.488,8.564
8.004,8.192,8.844,8.216,8.612,8.076,7.888,8.84,8.392,8.54
7.94,8.112,8.68,8.228,8.72,8.176,7.996,8.968,8.36,8.54
7.872,8.064,8.488,8.08,8.688,8.076,7.972,9.076,8.56,8.672
7.984,8.116,8.416,8.108,8.708,8.008,7.892,9.092,8.644,8.728
8.028,8.176,8.42,8.196,8.764,8.076,7.86,9.048,8.612,8.72
7.968,8.144,8.324,8.252,8.856,8.184,7.932,9.12,8.544,8.716
7.92,8.084,8.156,8.148,8.856,8.128,7.964,9.26,8.72,8.852
7.98,8.104,8.132,8.16,8.796,8.016,7.904,9.192,8.844,8.94
8.068,8.212,8.16,8.248,8.772,8.08,7.852,9.112,8.868,8.94
7.996,8.184,8.132,8.324,8.824,8.216,7.944,9.084,8.796,8.928
7.924,8.072,8.012,8.228,8.736,8.192,8.008,9.144,8.948,9.056
7.976,8.088,7.984,8.176,8.548,8.076,7.9,9.028,9.06,9.2
8.096,8.208,8.052,8.252,8.452,8.1,7.856,8.84,9.056,9.164
8.068,8.192,8.06,8.392,8.432,8.244,7.884,8.724,8.988,9.124
7.972,8.096,7.948,8.3,8.308,8.24,8,8.708,9.084,9.16
8.008,8.084,7.928,8.288,8.144,8.144,7.912,8.604,9.22,9.336
8.132,8.192,7.984,8.3,8.04,8.14,7.864,8.408,9.212,9.256
8.16,8.192,8.056,8.488,8.084,8.276,7.876,8.312,9.064,9.236
8.056,8.108,7.964,8.456,8.064,8.3,8.024,8.332,9.032,9.192
8.056,8.096,7.892,8.356,7.928,8.24,7.94,8.316,9.116,9.308
8.188,8.184,7.972,8.416,7.856,8.172,7.86,8.144,9.008,9.172
8.172,8.204,8.044,8.62,7.872,8.328,7.848,8.072,8.756,9.032
8.1,8.116,7.988,8.608,7.884,8.392,7.976,8.12,8.648,8.92
8.104,8.096,7.908,8.544,7.808,8.352,7.964,8.136,8.672,8.912
8.212,8.168,7.952,8.616,7.732,8.276,7.896,8.052,8.596,8.8
8.292,8.192,8.024,8.796,7.784,8.364,7.872,7.98,8.396,8.684
8.236,8.148,7.984,8.84,7.856,8.524,7.976,8.048,8.26,8.528
8.208,8.08,7.9,8.744,7.772,8.452,7.976,8.092,8.324,8.512
8.308,8.112,7.936,8.82,7.72,8.396,7.892,8.02,8.288,8.484
8.396,8.204,8.04,8.94,7.74,8.504,7.836,7.932,8.192,8.376
8.344,8.156,8,9.088,7.812,8.636,7.948,7.988,8.012,8.264
8.292,8.096,7.904,8.996,7.776,8.62,7.984,8.068,8.112,8.3
8.416,8.088,7.912,9.032,7.696,8.592,7.9,7.988,8.16,8.32
8.54,8.188,8.032,9.104,7.728,8.66,7.848,7.932,8.116,8.224
8.524,8.148,8.012,9.268,7.8,8.828,7.932,7.96,7.936,8.132
8.496,8.06,7.948,9.168,7.788,8.816,8,8.068,8.02,8.2
8.6,8.08,7.928,9.128,7.696,8.784,7.972,8.064,8.1,8.28
8.72,8.176,8.012,9.172,7.74,8.852,7.932,7.96,8.072,8.188
8.772,8.164,8.024,9.276,7.808,9.028,8.02,7.968,7.936,8.12
8.724,8.08,7.952,9.136,7.804,9.064,8.104,8.04,8.004,8.16
8.808,8.08,7.948,8.952,7.708,9.028,8.064,8.036,8.084,8.256
8.944,8.164,7.976,8.888,7.708,9.028,8.012,7.956,8.096,8.168
8.976,8.188,8.04,8.92,7.804,9.18,8.068,7.932,7.952,8.12
8.936,8.08,7.976,8.708,7.832,9.216,8.228,8.012,7.952,8.132
8.96,8.048,7.928,8.508,7.732,9.148,8.184,8.032,8.096,8.24
9.1,8.12,7.96,8.424,7.712,9.056,8.052,7.988,8.076,8.188
9.104,8.164,8.028,8.512,7.792,9.132,8.044,7.96,7.968,8.132
9.016,8.096,7.984,8.38,7.808,9.128,8.14,8.024,7.928,8.12
8.94,8.032,7.892,8.188,7.74,8.944,8.124,8.048,8.092,8.236
8.968,8.128,7.944,8.168,7.688,8.76,8.012,8.004,8.108,8.192
8.936,8.152,8.068,8.232,7.764,8.736,7.948,7.928,8.012,8.156
8.736,8.1,8.004,8.192,7.816,8.716,8.052,7.992,7.92,8.128
8.596,8.052,7.892,8.024,7.772,8.52,8.02,8.08,8.076,8.212
8.516,8.096,7.924,8.004,7.7,8.332,7.92,8.008,8.092,8.224
8.52,8.188,8.032,8.104,7.752,8.332,7.864,7.924,8.028,8.152
8.344,8.112,7.98,8.132,7.8,8.376,7.924,7.96,7.92,8.08
8.2,8.036,7.892,7.992,7.764,8.244,7.948,8.072,8.052,8.188
8.176,8.056,7.912,7.956,7.7,8.128,7.884,8.036,8.096,8.26
8.204,8.144,8.004,8.036,7.716,8.116,7.804,7.928,8.056,8.188
8.12,8.112,8,8.148,7.808,8.18,7.9,7.956,7.94,8.128
7.988,8.024,7.9,8.012,7.804,8.124,7.96,8.032,8.008,8.148
8,8.064,7.9,7.976,7.696,8.012,7.896,8.028,8.104,8.276
8.044,8.16,7.98,7.976,7.708,8.008,7.8,7.92,8.08,8.152
7.996,8.16,8.004,8.156,7.808,8.124,7.864,7.94,7.928,8.1
7.892,8.068,7.9,8.04,7.784,8.092,7.968,8.052,7.988,8.124
7.932,8.1,7.9,7.952,7.684,7.98,7.916,8.02,8.1,8.252
8.024,8.192,7.98,7.948,7.712,7.96,7.824,7.932,8.12,8.168
7.996,8.216,8.012,8.14,7.772,8.092,7.732,7.944,7.956,8.108
7.916,8.184,7.924,8.048,7.804,8.08,7.88,8.004,7.984,8.12
7.888,8.164,7.896,7.94,7.708,8.004,8.092,8.02,8.08,8.244
7.992,8.3,7.94,7.956,7.708,7.96,8.516,7.948,8.096,8.188
7.98,8.34,8,8.128,7.76,8.084,9.048,7.892,7.976,8.14
7.9,8.296,7.932,8.1,7.804,8.112,9.876,7.976,7.944,8.084
7.86,8.216,7.864,7.952,7.704,8.028,10.592,8.032,8.092,8.192
7.976,8.26,7.888,7.968,7.676,7.964,11.028,7.924,8.092,8.164
8.004,8.332,7.992,8.112,7.752,8.028,10.98,7.892,8.004,8.14
7.924,8.228,7.976,8.112,7.772,8.108,9.996,7.956,7.916,8.064
7.852,8.14,7.884,7.952,7.74,8.044,8.736,8.016,8.044,8.168
7.936,8.16,7.916,7.956,7.652,7.944,7.912,7.972,8.1,8.192
8.008,8.26,8.004,8.08,7.724,8.028,7.62,7.9,8.004,8.132
7.94,8.184,7.976,8.128,7.776,8.144,7.78,7.944,7.916,8.056
7.856,8.048,7.872,7.996,7.74,8.072,7.88,8.016,8.04,8.148
7.912,8.04,7.912,7.952,7.68,7.968,7.88,7.96,8.096,8.212
8.024,8.14,8.06,8.008,7.744,8,7.924,7.872,8.024,8.136
7.948,8.076,8.048,8.14,7.844,8.136,8.012,7.9,7.896,8.08
7.856,7.988,7.968,8.016,7.848,8.084,8.06,8.012,8.008,8.116
7.892,8.004,7.96,7.972,7.752,7.984,7.988,8.004,8.08,8.236
7.988,8.08,8.076,8,7.792,7.988,7.908,7.896,8.044,8.144
7.98,8.08,8.136,8.156,7.864,8.1,7.996,7.908,7.904,8.084
7.884,7.976,8.088,8.056,7.904,8.076,8.064,7.988,7.976,8.084
7.92,7.968,8.052,7.96,7.852,7.992,8.008,7.988,8.076,8.228
8.004,8.056,8.124,7.98,7.892,7.952,7.936,7.892,8.072,8.12
7.984,8.072,8.168,8.148,7.96,8.092,7.984,7.9,7.956,8.08
7.908,8.004,8.112,8.056,7.944,8.116,8.116,7.996,7.968,8.076
7.904,7.972,8.012,7.936,7.864,8.02,8.064,8.02,8.096,8.204
8.016,8.02,8.032,7.944,7.828,7.972,7.948,7.944,8.064,8.168
8,7.972,8.124,8.12,7.884,8.068,7.988,7.86,7.964,8.1
7.908,8.008,8.06,8.076,7.88,8.116,8.112,7.932,7.932,8.064
7.92,8.288,7.932,7.96,7.808,8.032,8.104,8,8.1,8.18
7.988,8.84,7.948,7.936,7.76,7.928,8.012,7.94,8.096,8.148
