f1y01,f1y02,f1y03,f1y04,f1y05,f1y06,f1y07,f1y08,f1y09,f1y10
8.028,8.008,8.028,9.452,7.492,8.084,7.744,8.16,8.36,9.564
7.984,8.024,7.96,9.416,7.944,8.124,7.772,8.272,8.232,10.196
7.94,7.976,7.944,9.3,8.252,8.128,7.796,8.348,8.108,10.8
8.036,7.924,8.048,9.216,7.928,8.068,7.788,8.196,8.228,11.124
8.008,7.996,8.06,9.196,7.376,8.072,7.752,8.2,8.356,11.196
7.96,8.032,7.956,9.124,7.752,8.164,7.752,8.288,8.296,10.788
7.964,7.992,7.944,8.94,8.24,8.136,7.764,8.4,8.056,9.648
8.04,7.936,8.036,8.836,8.428,8.088,7.768,8.252,8.028,8.52
8.032,7.968,8.064,8.784,8.66,8.052,7.744,8.224,8.16,7.94
7.988,8.008,7.988,8.724,9.768,8.12,7.748,8.316,8.156,7.74
7.988,7.98,7.94,8.6,11.008,8.128,7.8,8.46,7.988,7.768
8.02,7.952,8.036,8.476,11.416,8.084,7.8,8.348,8.076,7.876
8.064,7.952,8.132,8.476,10.484,8.068,7.768,8.272,8.224,7.912
7.98,8,8.088,8.424,9.828,8.132,7.768,8.356,8.2,7.96
7.968,7.976,8.016,8.34,9.496,8.144,7.784,8.492,8.028,8.032
7.992,7.956,8.088,8.256,8.844,8.072,7.776,8.432,8.084,8.036
8.036,7.964,8.176,8.26,7.752,8.056,7.768,8.356,8.216,7.992
7.996,8.068,8.132,8.252,7.328,8.1,7.78,8.428,8.216,8.004
7.956,8.008,8.076,8.18,7.676,8.148,7.788,8.576,8.036,7.996
7.956,7.96,8.152,8.124,7.884,8.088,7.772,8.564,8.012,7.996
8.024,7.94,8.292,8.124,7.536,8.064,7.772,8.488,8.108,7.996
8.016,7.996,8.296,8.148,7.348,8.124,7.772,8.548,8.136,7.98
7.952,8.008,8.2,8.12,8.076,8.156,7.78,8.676,8.08,7.98
7.952,7.964,8.156,8,8.496,8.108,7.78,8.724,8.24,8.008
8.02,7.948,8.252,8.048,8.112,8.076,7.768,8.636,8.708,8.02
8.016,7.992,8.256,8.08,7.668,8.088,7.764,8.66,9.188,8
7.928,8.024,8.172,8.08,8.132,8.128,7.792,8.768,9.568,8.008
7.936,7.976,8.112,8.016,8.476,8.124,7.824,8.864,10.024,8.008
8.008,7.944,8.2,8.008,8.188,8.064,7.8,8.756,11.004,8.024
8.024,7.964,8.22,8.076,7.672,8.068,7.756,8.748,11.52,8.004
7.936,8.008,8.144,8.076,8.072,8.152,7.792,8.88,10.516,8.008
7.944,7.988,8.084,8,8.456,8.144,7.8,9.02,9.088,8.04
7.992,7.936,8.116,7.996,8.292,8.06,7.776,8.908,8.58,8.032
8.008,7.968,8.156,8.072,7.728,8.032,7.768,8.864,8.48,8.036
7.956,7.976,8.028,8.08,7.98,8.116,7.8,8.976,8.412,8.024
7.896,7.956,7.936,8.052,8.44,8.144,7.808,9.12,8.272,8.044
7.988,7.956,7.996,7.992,8.416,8.096,7.788,8.992,8.34,8.052
7.992,7.98,8.052,8.072,7.876,8.056,7.808,8.864,8.452,8.072
7.952,8.008,8.008,8.116,7.888,8.104,7.764,8.892,8.432,8.068
7.96,7.976,7.912,8.072,8.424,8.14,7.784,8.968,8.244,8.08
7.948,7.94,7.948,8.012,8.58,8.076,7.796,8.824,8.16,8.072
8.012,7.964,8.052,8.048,8.028,8.02,7.776,8.648,8.216,8.104
7.956,8.012,7.992,8.088,7.816,8.076,7.796,8.616,8.24,8.096
7.944,7.996,7.896,8.076,8.388,8.152,7.8,8.676,8.2,8.112
7.928,7.944,7.932,8.032,8.652,8.084,7.812,8.564,8.204,8.128
7.984,7.924,8.036,8.06,8.16,8.016,7.792,8.384,8.308,8.156
7.98,7.976,8.028,8.1,7.82,8.112,7.804,8.332,8.356,8.156
7.916,7.996,7.924,8.084,8.396,8.156,7.82,8.376,8.228,8.172
7.924,7.976,7.928,8.04,8.708,8.112,7.856,8.324,8.02,8.196
8.004,7.928,8.032,8.028,8.312,8.064,7.824,8.152,8.156,8.208
7.96,7.96,8.02,8.06,7.844,8.088,7.836,8.116,8.24,8.208
7.892,8.004,7.94,8.104,8.36,8.128,7.852,8.18,8.176,8.24
7.904,7.948,7.936,7.988,8.736,8.116,7.828,8.252,8.02,8.248
7.992,7.94,8.008,8.016,8.44,8.076,7.832,8.108,8.232,8.264
7.992,7.984,8.032,8.052,7.964,8.052,7.808,8.064,8.348,8.332
7.924,7.992,7.96,8.068,8.348,8.16,7.836,8.12,8.272,8.324
7.936,7.968,7.904,8.008,8.78,8.136,7.836,8.216,8.1,8.372
7.988,7.94,8,8.004,8.64,8.084,7.82,8.08,8.232,8.432
7.984,7.988,8.044,8.056,8.14,8.056,7.816,8.008,8.364,8.44
7.928,8.024,7.98,8.056,8.34,8.16,7.852,8.088,8.264,8.468
7.916,7.972,7.932,8.036,8.816,8.14,7.856,8.196,8.184,8.5
7.972,7.932,7.988,7.98,8.844,8.088,7.844,8.064,8.284,8.56
7.988,7.964,8.032,8.016,8.356,8.052,7.812,7.996,8.336,8.604
7.964,8,7.956,8.056,8.34,8.116,7.84,8.052,8.34,8.632
7.92,7.992,7.868,8.044,8.9,8.168,7.856,8.184,8.184,8.676
7.976,7.972,7.972,7.964,9.092,8.1,7.824,8.084,8.196,8.716
8.068,7.956,8.332,8.004,8.612,8.06,7.824,7.972,8.428,8.744
8.032,8,8.684,8.036,8.416,8.136,7.844,8.048,8.672,8.764
8.012,8.004,9.18,8.008,8.996,8.148,7.86,8.156,8.236,8.76
7.996,7.968,9.872,7.936,9.316,8.108,7.86,8.116,8.008,8.756
8.104,7.928,10.824,7.992,8.872,8.06,7.82,8,8.368,8.756
8.116,8,10.964,8.036,8.52,8.116,7.852,8.044,8.52,8.704
8.108,8.008,9.884,8.036,9.12,8.172,7.848,8.152,8.344,8.66
8.132,8,9.312,7.944,9.516,8.16,7.856,8.152,8.232,8.62
8.184,8.024,8.988,7.964,9.128,8.072,7.836,8.048,8.268,8.552
8.136,8.072,8.492,8.016,8.708,8.1,7.804,8.028,8.5,8.496
8.052,8.084,8,8.028,9.252,8.148,7.832,8.124,8.512,8.416
8.032,8.016,7.648,7.972,9.616,8.16,7.868,8.188,8.4,8.38
8.092,8.016,7.628,7.956,9.308,8.084,7.84,8.04,8.464,8.336
8.1,8.1,7.864,8.02,8.844,8.076,7.824,8.024,8.696,8.284
8.032,8.16,7.976,8.028,9.176,8.164,7.868,8.108,8.388,8.208
7.96,8.136,8.024,7.984,9.564,8.152,7.884,8.192,8.276,8.18
8,8.076,8.14,7.924,9.336,8.068,7.892,8.04,8.528,8.148
7.988,8.088,8.204,7.98,8.712,8.052,7.948,8.012,8.752,8.112
7.888,8.116,8.136,8.008,8.828,8.152,8.032,8.088,8.648,8.096
7.868,8.04,8.028,7.988,9.172,8.152,8.092,8.216,8.452,8.056
7.896,8,8.116,7.944,9.06,8.104,8.072,8.088,8.54,8.056
7.948,8.016,8.18,7.996,8.404,8.072,8.004,8,8.78,8.06
7.904,8.044,8.132,8.032,8.288,8.148,7.992,8.064,8.896,8.044
7.876,8.024,8.032,7.952,8.7,8.184,8.004,8.172,8.636,8.04
7.884,7.98,8.1,7.928,8.788,8.116,8,8.116,8.68,8.036
7.912,7.964,8.184,7.964,8.184,8.088,8,8.012,8.86,8.032
7.88,8,8.164,7.988,7.864,8.124,7.988,8.06,8.852,8.016
7.86,7.948,8.048,7.984,8.372,8.164,7.992,8.164,8.676,8.004
7.864,7.916,8.076,7.92,8.584,8.108,7.948,8.108,8.736,8.02
7.952,7.896,8.18,7.964,8.044,8.064,7.88,7.98,8.956,8.052
7.916,7.972,8.152,7.98,7.604,8.124,7.848,8.012,8.98,8.036
7.76,7.96,8.092,7.992,8.176,8.18,7.884,8.132,8.6,8.04
7.792,7.916,8.076,7.928,8.448,8.16,7.892,8.136,8.44,8.044
8.08,7.912,8.204,7.94,8.036,8.104,7.884,7.996,8.528,8.036
8.492,7.96,8.188,7.976,7.528,8.128,7.884,7.972,8.628,8.036
8.944,7.984,8.124,7.968,8.048,8.18,7.88,8.092,8.532,8.016
9.604,7.928,8.128,7.928,8.38,8.184,7.876,8.168,8.38,8.036
10.42,7.872,8.2,7.912,8.044,8.128,7.804,7.996,8.488,8.048
11.008,7.856,8.248,7.992,7.548,8.096,7.796,7.964,8.568,8.048
11.1,7.812,8.192,8.004,7.908,8.2,7.764,8.084,8.308,8.048
10.192,7.816,8.128,7.96,8.32,8.168,7.78,8.156,8.096,8.04
8.956,7.92,8.24,7.9,8.148,8.108,7.784,8.024,8.148,8.052
8.18,8.26,8.276,7.964,7.632,8.108,7.784,7.964,8.316,8.028
7.772,8.732,8.236,7.98,7.78,8.176,7.784,8.012,8.316,8.036
7.768,9.28,8.168,7.968,8.24,8.18,7.8,8.136,8.128,8.036
7.86,9.9,8.256,7.924,8.268,8.12,7.776,8.012,8.112,8.048
7.916,10.244,8.352,7.952,7.712,8.096,7.776,7.928,8.26,8.036
7.94,10.016,8.324,8.008,7.652,8.184,7.756,8.008,8.308,8.048
7.96,9.384,8.236,7.976,8.188,8.188,7.776,8.12,8.12,8.008
7.996,8.872,8.288,7.92,8.356,8.14,7.808,8.036,8.128,8.032
8.072,8.428,8.404,7.96,7.828,8.096,7.768,7.92,8.308,8.04
8.008,7.968,8.388,8.004,7.568,8.18,7.78,8,8.348,8.024
7.964,7.768,8.344,7.976,8.148,8.208,7.796,8.1,8.04,8.024
7.968,7.808,8.384,7.916,8.408,8.192,7.792,8.048,8.036,8.032
8.04,7.892,8.5,7.948,7.9,8.192,7.776,7.932,8.14,8.04
8,8.02,8.532,7.988,7.516,8.22,7.772,7.944,8.256,8.044
7.956,8.084,8.448,7.972,8.056,8.296,7.804,8.088,8.104,8.02
7.992,8.032,8.476,7.928,8.424,8.268,7.808,8.088,8.052,8.024
8.06,8.016,8.632,7.944,7.98,8.24,7.796,7.928,8.172,8.04
8.048,8.028,8.672,7.972,7.52,8.284,7.772,7.932,8.28,8.016
7.988,8.08,8.648,8,8.032,8.348,7.792,8.068,8.2,8.008
8.012,8.044,8.676,7.944,8.388,8.348,7.836,8.116,8.088,8.016
8.072,8.008,8.784,7.94,8.036,8.284,7.792,7.956,8.152,8.044
8.076,8.032,8.868,7.972,7.548,8.288,7.824,7.94,8.348,8.016
8.036,8.06,8.88,8.004,7.904,8.384,7.816,8.032,8.192,8.02
8.044,8.032,8.872,7.936,8.34,8.34,7.816,8.116,8.088,8.024
8.08,7.996,9.004,7.932,8.148,8.252,7.764,7.96,8.144,8.032
8.108,8.048,9.108,7.964,7.656,8.204,7.664,7.936,8.236,8.016
8.068,8.064,9.076,8.012,7.784,8.288,7.632,7.996,8.236,8.004
8.076,8.056,9.036,7.956,8.276,8.268,7.764,8.116,8.052,8.024
8.124,8,9.164,7.924,8.244,8.196,8.148,7.996,8.056,8.044
8.16,8.036,9.252,7.964,7.74,8.148,9.044,7.916,8.212,8.052
8.172,8.068,9.2,8.024,7.664,8.212,10.388,8.012,8.2,8.048
8.116,8.06,9.116,7.968,8.188,8.204,11.668,8.132,8.06,8.064
8.176,8.04,9.132,7.888,8.372,8.144,12.864,8.008,8.056,8.072
8.244,8.036,9.196,7.968,7.82,8.068,13.188,7.904,8.168,8.116
8.192,8.1,9.096,8.024,7.544,8.116,11.968,7.984,8.308,8.08
8.172,8.112,8.92,7.98,8.144,8.176,10.012,8.088,8.12,8.084
8.2,8.06,8.86,7.936,8.388,8.096,8.372,8.064,8.06,8.148
8.288,8.06,8.844,7.968,7.888,8.06,7.796,7.928,8.172,8.212
8.296,8.076,8.74,8.008,7.488,8.104,7.804,7.96,8.28,8.232
8.284,8.116,8.544,8.008,8.044,8.152,7.756,8.096,8.156,8.228
8.32,8.096,8.46,7.94,8.388,8.108,7.884,8.112,8.06,8.228
8.384,8.08,8.476,7.948,7.952,8.076,8.02,7.98,8.128,8.2
8.408,8.116,8.432,7.984,7.464,8.06,8.1,7.972,8.232,8.132
8.388,8.144,8.288,8.02,7.976,8.168,8.096,8.092,8.16,8.1
8.428,8.116,8.216,7.96,8.36,8.144,8.048,8.176,8.08,8.1
8.52,8.12,8.252,7.936,8.024,8.1,8.004,8.06,8.152,8.096
8.592,8.152,8.236,7.992,7.484,8.108,7.944,8.064,8.28,8.076
8.592,8.184,8.12,8.02,7.824,8.192,7.988,8.164,8.22,8.036
8.636,8.156,8.068,7.952,8.284,8.232,7.956,8.28,8.1,8.04
8.696,8.136,8.116,7.928,8.104,8.128,7.936,8.152,8.148,8.032
8.78,8.184,8.14,7.984,7.592,8.08,7.96,8.072,8.276,7.988
8.784,8.244,8.092,8.008,7.736,8.236,7.956,8.156,8.192,7.948
8.816,8.22,8.008,7.988,8.224,8.336,7.956,8.28,8.06,7.956
8.916,8.208,8.052,7.908,8.224,8.664,7.948,8.168,8.108,7.972
8.98,8.236,8.132,7.952,7.692,9.384,7.944,8.076,8.232,7.98
8.996,8.292,8.072,8.012,7.576,9.784,7.936,8.132,8.236,7.956
9.036,8.28,7.972,8,8.152,9.852,7.944,8.236,8.084,7.964
9.064,8.288,8.004,7.924,8.312,9.36,7.964,8.168,8.084,7.98
9.136,8.304,8.104,7.944,7.756,8.792,7.98,8.048,8.244,7.964
9.136,8.384,8.088,8,7.492,8.456,7.944,8.092,8.304,7.952
9.084,8.42,7.98,7.988,8.076,8.348,8,8.204,8.272,7.968
9.08,8.396,7.988,7.904,8.368,8.152,8.008,8.144,8.204,7.976
9.076,8.412,8.084,7.96,7.844,8.08,7.968,7.976,8.296,7.996
8.976,8.484,8.064,8.004,7.424,8.088,7.976,8,8.408,7.992
8.804,8.532,7.988,8,7.98,8.136,8.02,8.072,8.284,7.944
8.748,8.54,7.984,7.928,8.348,8.192,8.024,8.028,8.124,7.896
8.66,8.54,8.084,7.944,7.908,8.188,7.996,7.904,8.244,7.812
8.58,8.632,8.072,7.972,7.424,8.224,8.028,7.888,8.46,7.832
8.428,8.684,8.008,7.992,7.928,8.3,8.052,8.016,8.424,8.076
8.332,8.688,7.96,7.932,8.328,8.272,8.048,8.072,8.516,8.452
8.296,8.68,8.052,7.952,7.976,8.212,8.012,7.9,8.42,9.088
8.272,8.772,8.072,7.952,7.468,8.22,8.056,7.848,8.308,9.752
8.128,8.828,8.024,7.996,7.792,8.296,8.048,7.96,8.372,10.368
8.076,8.832,7.968,7.96,8.288,8.3,8.096,8.068,8.364,10.936
8.1,8.852,8.08,7.928,8.06,8.216,8.096,7.944,8.392,11.164
8.088,8.888,8.096,7.988,7.576,8.192,8.084,7.872,8.46,11.18
7.98,8.948,8.044,8.012,7.684,8.296,8.096,7.964,8.42,10.576
7.956,8.944,7.972,7.956,8.208,8.3,8.108,8.056,8.316,9.304
8.012,8.968,8.048,7.916,8.196,8.244,8.156,7.952,8.26,8.312
8.024,8.972,8.108,7.96,7.688,8.228,8.132,7.876,8.24,7.864
7.956,9.028,8.06,8.012,7.568,8.312,8.16,7.968,8.26,7.724
7.912,8.968,7.98,8,8.136,8.34,8.184,8.088,8.132,7.76
7.916,8.948,8.04,7.92,8.288,8.256,8.192,7.98,8.204,7.872
7.968,8.884,8.104,7.96,7.752,8.224,8.212,7.82,8.38,7.928
7.936,8.88,8.084,8.032,7.444,8.292,8.216,7.764,8.288,7.992
7.9,8.828,8.016,8,8.064,8.34,8.252,7.784,7.992,8.032
7.928,8.712,8.004,7.912,8.352,8.284,8.252,7.844,8.016,8.048
7.976,8.652,8.1,7.972,7.836,8.28,8.296,7.988,8.24,8.048
7.964,8.64,8.06,7.996,7.416,8.3,8.3,8.396,8.32,8
7.884,8.576,7.984,8.02,7.972,8.36,8.36,9.044,8.072,7.992
7.904,8.452,7.992,7.996,8.376,8.336,8.388,9.624,7.948,8.008
7.976,8.356,8.076,7.984,7.912,8.296,8.456,10.088,8.08,8.012
7.976,8.352,8.076,8.056,7.44,8.3,8.472,10.748,8.024,7.972
7.896,8.336,8.016,8.012,7.9,8.38,8.54,10.948,8.136,7.98
7.94,8.24,7.992,8.032,8.376,8.372,8.572,10.128,8.016,7.996
7.976,8.148,8.06,8,7.98,8.328,8.64,8.98,8.064,8.016
8.004,8.156,8.104,8.104,7.476,8.332,8.66,8.4,8.224,8
7.892,8.172,8.012,8.132,7.816,8.412,8.764,8.24,8.176,8.012
7.924,8.116,7.944,8.12,8.308,8.432,8.836,8.156,7.884,8.02
7.956,8.08,8.04,8.132,8.076,8.356,8.896,7.92,7.992,8.02
7.968,8.06,8.072,8.208,7.576,8.364,8.936,7.96,8.128,8.004
7.912,8.08,8.036,8.232,7.668,8.428,9.008,8.156,8.144,8.012
7.92,8.056,7.972,8.16,8.212,8.472,9.108,8.26,7.944,8.052
7.956,8,8,8.068,8.22,8.4,9.152,8.116,8.028,8.056
7.972,8.016,8.116,8.064,7.696,8.4,9.164,8.024,8.568,8.072
7.932,8.084,8.032,8.096,7.576,8.496,9.228,8.104,9.068,8.056
7.92,8.068,7.94,8.06,8.116,8.548,9.288,8.22,8.984,8.024
7.952,8.012,7.996,7.984,8.34,8.5,9.248,8.116,9.532,8.056
7.96,7.996,8.076,8.024,7.76,8.48,9.224,7.992,10.496,8.072
7.94,8.08,8.064,8.084,7.428,8.564,9.168,8.052,11.368,8.064
7.884,8.064,7.952,8.076,8.064,8.628,9.14,8.188,11.084,8.08
7.924,8.02,7.992,7.972,8.396,8.572,9.036,8.156,9.892,8.092
7.96,8.012,8.068,7.972,7.86,8.58,8.916,8.012,9.02,8.108
7.952,8.044,8.06,8.004,7.42,8.66,8.772,8.036,8.516,8.108
7.884,8.072,7.972,7.964,7.98,8.76,8.712,8.152,8.2,8.108
7.928,8.028,7.98,7.908,8.384,8.748,8.608,8.164,8.116,8.148
7.944,8.012,8.044,7.892,7.936,8.728,8.456,8.044,8.14,8.156
7.928,8.052,8.056,7.964,7.432,8.744,8.38,8.036,8.292,8.16
7.884,8.076,7.968,8.008,7.928,8.872,8.28,8.144,8.268,8.156
7.888,8.052,7.948,7.924,8.376,8.9,8.236,8.196,8.148,8.204
7.964,8.016,8.004,7.936,8.032,8.828,8.116,8.056,8.216,8.22
7.948,8.04,8.068,7.976,7.56,8.868,8.076,8.06,8.296,8.228
7.872,8.076,7.992,7.992,7.908,8.96,8.008,8.168,8.116,8.228
7.904,8.036,7.96,7.96,8.392,8.984,7.984,8.252,7.976,8.256
7.916,8.016,8.012,7.912,8.192,8.896,7.968,8.116,8.04,8.3
7.908,8.04,8.068,7.968,7.684,8.908,7.936,8.064,8.192,8.328
7.88,8.06,8.036,7.996,7.76,8.968,7.908,8.16,8.196,8.336
7.876,8.028,7.944,7.936,8.3,8.96,7.916,8.272,8.04,8.396
7.932,8.004,8.016,7.852,8.36,8.864,7.88,8.128,8.044,8.44
7.908,8.016,8.072,7.864,7.8,8.82,7.852,8.064,8.232,8.46
7.884,8.068,8.032,7.96,7.696,8.836,7.84,8.152,8.232,8.496
7.876,8.052,7.948,8.144,8.276,8.82,7.868,8.272,8.088,8.492
7.888,8.008,7.992,8.496,8.46,8.692,7.864,8.196,8.116,8.568
7.916,8,8.076,9.032,7.908,8.588,7.836,8.084,8.224,8.592
7.884,8.036,8.056,9.716,7.552,8.564,7.824,8.188,8.272,8.62
7.836,8.044,7.952,10.432,8.172,8.56,7.856,8.3,8.176,8.664
7.868,8.024,7.984,10.672,8.492,8.424,7.816,8.248,8.112,8.696
7.904,7.992,8.064,10.02,7.984,8.38,7.804,8.16,8.24,8.728
7.88,8.012,8.06,9.14,7.572,8.36,7.82,8.216,8.364,8.752
7.844,8.056,7.968,8.552,8.12,8.38,7.844,8.328,8.196,8.74
7.864,8,7.964,8.032,8.468,8.312,7.836,8.348,8.1,8.748
7.888,7.988,8.064,7.664,7.96,8.236,7.82,8.204,8.164,8.716
7.876,8.012,8.056,7.496,7.416,8.204,7.812,8.248,8.296,8.672
7.86,8.06,7.984,7.444,7.904,8.264,7.8,8.372,8.168,8.616
7.844,8.004,7.972,7.36,8.332,8.236,7.808,8.452,8.164,8.584
7.9,7.968,8.024,7.364,8.004,8.156,7.816,8.32,8.244,8.544
7.896,8,8.084,7.416,7.52,8.16,7.784,8.32,8.456,8.472
7.852,8.044,8.016,7.532,7.804,8.208,7.816,8.452,8.408,8.36
7.852,8.02,7.968,7.628,8.296,8.208,7.816,8.564,8.272,8.336
7.912,7.952,8.012,7.664,8.096,8.132,7.78,8.424,8.28,8.292
7.92,7.988,8.084,7.8,7.592,8.116,7.788,8.384,8.34,8.228
7.916,8.028,8.036,7.932,7.664,8.168,7.78,8.544,8.272,8.164
7.896,8.012,7.96,8.008,8.208,8.184,7.792,8.656,8.072,8.144
7.968,7.964,8.036,7.992,8.204,8.108,7.796,8.564,8.196,8.112
8.008,7.972,8.116,8.056,7.636,8.08,7.784,8.5,8.408,8.104
8.004,8.004,8.124,8.128,7.428,8.144,7.796,8.636,8.468,8.06
8.008,8.016,8,8.112,7.984,8.196,7.764,8.78,8.296,8.028
8.092,7.972,8.076,8.056,8.26,8.084,7.804,8.728,8.268,8.048
8.092,7.964,8.208,8.124,7.948,8.088,7.764,8.668,8.42,8.028
8.048,7.996,8.148,8.188,8.284,8.116,7.792,8.784,8.524,8.008
7.988,8,8.088,8.176,9.776,8.148,7.808,8.896,8.376,8.012
8.008,7.992,8.104,8.14,10.948,8.112,7.792,8.896,8.4,8.012
7.992,7.964,8.216,8.156,11.06,8.072,7.788,8.804,8.556,8.024
7.972,7.992,8.268,8.212,10.46,8.112,7.768,8.876,8.612,7.996
7.92,8.02,8.24,8.2,10.412,8.192,7.804,9.012,8.504,8
7.924,7.96,8.208,8.184,10.02,8.156,7.808,9.048,8.492,8.016
7.948,7.944,8.236,8.188,8.756,8.084,7.764,8.904,8.588,8.012
7.876,7.988,8.252,8.256,7.568,8.076,7.76,8.92,8.716,8
7.84,8.016,8.164,8.268,7.716,8.168,7.78,9.028,8.636,8.028
7.804,7.968,8.132,8.196,7.992,8.172,7.78,9.02,8.6,8.028
7.864,7.94,8.196,8.2,7.548,8.108,7.752,8.84,8.668,8.028
7.836,7.988,8.216,8.284,7.136,8.108,7.76,8.748,8.852,8.012
7.772,8.016,8.184,8.296,7.604,8.196,7.808,8.768,8.792,8.012
7.804,7.98,8.104,8.252,8.28,8.192,7.788,8.776,8.628,8.012
7.848,7.964,8.16,8.244,8.248,8.108,7.788,8.532,8.676,8.032
7.832,7.972,8.16,8.32,7.82,8.096,7.768,8.416,8.828,8.044
7.796,8.012,8.084,8.364,7.872,8.168,7.756,8.44,8.868,8.016
7.8,7.976,7.98,8.332,8.376,8.192,7.76,8.464,8.72,8.012
7.844,7.952,8.032,8.296,8.412,8.116,7.792,8.268,8.732,8.048
7.856,7.964,8.072,8.348,7.904,8.108,7.76,8.148,8.636,8.044
7.8,8.008,8.044,8.416,7.724,8.184,7.748,8.176,8.588,8.02
7.764,7.984,7.944,8.408,8.316,8.208,7.744,8.268,8.328,8.012
7.68,7.948,7.98,8.34,8.556,8.116,7.764,8.144,8.296,8.028
7.78,7.964,8.028,8.392,7.976,8.1,7.776,8.016,8.432,8.032
8.04,8.016,8.012,8.468,7.644,8.148,7.752,8.064,8.456,8.004
8.484,7.996,7.916,8.464,8.272,8.204,7.744,8.172,8.308,8
9.124,7.964,7.932,8.436,8.616,8.14,7.772,8.144,8.276,8.028
9.852,7.92,8.02,8.448,8.112,8.104,7.736,8.02,8.236,8.02
10.548,7.988,8.016,8.548,7.672,8.14,7.72,8.028,8.284,7.996
11.012,8,7.936,8.54,8.252,8.22,7.768,8.14,8.236,8.004
10.896,7.956,7.936,8.488,8.648,8.168,7.784,8.148,8.192,8.02
9.796,7.948,8.008,8.56,8.188,8.104,7.768,7.984,8.14,8.032
8.64,7.984,8.04,8.636,7.7,8.104,7.736,8.012,8.172,7.996
7.884,8.008,7.94,8.652,8.184,8.176,7.76,8.108,8.128,8.004
7.668,7.956,7.912,8.636,8.64,8.172,7.748,8.168,7.976,8.02
